,name,month_2020,square_meter,road-width,price,bedroom_no,floors,street,area,district
0,"Gia đình tôi cân bán nhà 36 Nguyễn Bỉnh Khiêm, quận 1, 12mx30m, xpxd 2H,10 tầng giá 159 tỷ",9.0,360.0,30.0,159.0,10.0,10.0,238.0,106.0,5.0
1,NHÀ PHỐ CAO CẤP BẢO NGỌC (CÓ THÍCH HỢP THANG MÁY )ĐƯỜNG NGUYỄN OANH NỐI DÀI HÀ HUY GIÁP,9.0,300.0,8.0,4.2,7.0,6.0,133.0,80.0,8.0
2,"NHÀ 4 LẦU MẶT TIỀN ĐƯỜNG HÀ HUY GIÁP(dt 4 x19 m) sổ hồng riêng ,giá 4ty2",9.0,76.0,8.0,4.2,7.0,6.0,133.0,80.0,8.0
3,Nhà phố cực đẹp chỉ 4tỷ1 có tích hợp thang máy,9.0,80.0,12.0,4.1,5.0,4.0,133.0,80.0,8.0
4,Nhà 4 lầu 4x17m ngay Chợ trả 1.4tỷ nhận nhà ở,9.0,268.0,8.0,4.4,5.0,4.0,407.0,6.0,19.0
5,25 căn nhà phố mới xây chỉ 4ty550 ở Thống Nhất - Gò Vấp,9.0,268.0,12.0,4.55,5.0,4.0,407.0,8.0,19.0
6,ĐỊNH CƯ MỸ BÁN NHÀ  NGAY NGẢ TƯ BƯNG ÔNG THOÀNG VÀ LIÊN PHƯỜNG,9.0,160.0,10.0,6.5,4.0,1.0,164.0,67.0,16.0
7,"ĐỊNH CƯ MỸ CẦN BÁN MẶT TIỀN KINH DOANH ĐƯỜNG 38, HIỆP BÌNH CHÁNH, THỦ ĐỨC",9.0,136.0,20.0,7.4,3.0,2.0,381.0,50.0,21.0
8,"NHÀ TRỤC ĐƯỜNG ĐẶNG VĂN BI. CHỢ THỦ ĐỨC-CHIẾT KHẤU 500tr, SỔ RIÊNG, ĐÃ HOÀN CÔNG.VỀ Ở NGAY",9.0,65.0,10.0,5.0,3.0,3.0,570.0,87.0,21.0
9,"NHÀ CỰC HIẾM, CÓ SÂN CỰC RỘNG, cách QL13 chỉ 200m, Sổ RIÊNG, ĐÃ Hoàn công",9.0,237.0,8.0,5.5,3.0,3.0,12.0,51.0,21.0
10,"Chính chủ bán gấp nhà 1T3L khu dân cư cực kì đẹp ngay chợ Bình Triệu, HXH 7m,có sân xe hơi",9.0,80.0,7.0,6.1,4.0,3.0,366.0,50.0,21.0
11,"VỠ NỢ MÙA COVID-CẦN BÁN GẤP NHÀ 3 LẦU MỚI XÂY TRONG KDC HƯNG PHÚ, ĐỐI DIỆN ĐẠI HỌC LUẬT!!!",9.0,64.0,12.0,6.1,5.0,3.0,18.0,50.0,21.0
12,"Cần bán nhà đẹp HXH Huỳnh Tấn Phát, DT 56m2, giá 4.1 tỷ",9.0,56.0,15.0,4.1,4.0,2.0,130.0,114.0,4.0
13,"cần bán gấp! nhà hẻm 1886 Huỳnh Tấn Phát, Nhà Bè, Giá 3.75 tỷ (5x15m)",9.0,75.0,6.0,3.75,2.0,2.0,130.0,114.0,4.0
14,"Mặt Tiền Huỳnh Tấn Phát.. 4 lầu Phường Phú Thuận, Giá 34 tỷ (6x10m)",9.0,282.0,10.0,34.0,4.0,3.0,130.0,69.0,14.0
15,"Nhà y như hình, dọn vào ở ngay 4,5x19 chỉ 4,3ty, vị trí cực đẹp, Gọi gấp Vinh 0902-694-205",9.0,280.0,12.0,4.3,6.0,4.0,264.0,23.0,19.0
16,"Chỉ 1ty7 nhận nhà liền kề gò vấp, 5,4x15 full nội thất, nhà 1T3L, call: 0902*694*205 CDT.",9.0,250.0,12.0,4.55,5.0,4.0,407.0,8.0,19.0
17,"Bán nhà giá rẻ SHR, 1 trệt 1 lầu,đường Nguyễn Duy Trinh,Long Trường,Q9 chỉ 1.9ty",9.0,34.0,3.0,1.9,2.0,1.0,249.0,64.0,16.0
18,"BÁN GẤP ĐẤT LỚN BÌNH THẠNH kế QUẬN 1, MẶT TIỀN Xây Toà Văn Phòng.( 20x42).",9.0,880.0,16.0,75.0,6.0,2.0,182.0,24.0,17.0
19,"Bán nhà mặt tiền Nguyễn Trãi, Quận 1, 12.6x20m, Hầm + 8L, 310 tr/th. Giá 108 tỷ",9.0,250.0,16.0,108.0,6.0,2.0,285.0,65.0,5.0
20,"NHÀ BÁN SHR  THỐNG NHẤT - TÔ NGỌC VÂN ,P.THẠNH XUÂN , QUẬN 12. LH NGAY NHẬN NHÀ SỚM",9.0,300.0,12.0,4.55,5.0,4.0,407.0,9.0,19.0
21,"CẦN BÁN 2 CĂN GÓC CUỐI ĐỒNG GIÁ 4.9 TỈ BỚT 300TR  - GIÁ CHỐT NHANH , LH NGAY ĐỂ ƯU TIÊN",9.0,360.0,12.0,4.6,6.0,4.0,133.0,80.0,8.0
22,"BÁN NHÀ MẶT TIỀN KINH DOANH NGAY NGÃ TƯ GA 6X15M2 _P.THẠNH XUÂN , Q.GÒ VẤP 200M. LH  NGAY",9.0,360.0,12.0,4.3,6.0,5.0,264.0,23.0,19.0
23,"NHÀ MẶT TIỀN KINH DOANH , DT 5X20 . 4PN, 2WC. SỔ RIÊNG .CÓ CHO TRẢ GÓP",9.0,100.0,10.0,0.9,4.0,2.0,550.0,117.0,0.0
24,"Chỉ cần thanh toán 1,5 tỷ nhận nhà ở liền. DT : 5,5x15m. Nhà mới tinh , đường 9m trải nhựa",9.0,280.0,12.0,4.6,4.0,4.0,264.0,23.0,19.0
25,"BÁN GẤP CĂN NHÀ 1T1L NGAY TRẦN NÃO,GẦN CHỢ ĐO ĐẠC 56m2_1ty420_SHR",9.0,56.0,6.0,1.42,2.0,1.0,435.0,32.0,9.0
26,"CHÍNH CHỦ CẦN BÁN CĂN NHÀ 1T1L ĐƯỜNG ĐỖ XUÂN HỢP,GẦN CHỢ PHƯỚC LONG B 48m2_1ty450_SHR",9.0,48.0,6.0,1.45,2.0,1.0,580.0,75.0,16.0
27,"CẦN BÁN CĂN NHÀ 1T1L ĐƯỜNG LÊ VĂN VIỆT,Q9,GẦN BỆNH VIỆN Q9 52m2_1ty480_SHR",9.0,52.0,6.0,1.48,2.0,1.0,202.0,104.0,16.0
28,"BÁN NHÀ quận 12 trệt 1 lửng 3 lầu sổ hồng trao tay. Giá 4,25 tỷ.",9.0,250.0,9.0,4.25,4.0,3.0,477.0,82.0,8.0
29,Nhà Đẹp Ngay UBND Phường Thạnh Xuân Q12-Về Gò Vấp 3 Phút Lái Xe,8.0,55.0,12.0,3.8,4.0,3.0,403.0,82.0,8.0
30,Bán Nhà 3 Lầu SHR KDC Bảo Minh New 100% Đường Tô Ngọc Vân.,8.0,60.0,12.0,4.6,4.0,3.0,407.0,26.0,19.0
31,BÁN NHÀ 3 LẦU CÓ THANG MÁY SHR VỊ TRÍ NGÃ TƯ GA ĐƯỜNG HÀ HUY GIÁP.,8.0,220.0,12.0,4.4,4.0,3.0,264.0,23.0,19.0
32,"NHÀ MẶT TIỀN ĐƯỜNG LỚN 100m2. SÁT BÊN CHỢ, KHU CÔNG NGHIỆP LỚN. SỔ RIÊNG. ĐƯỢC TRẢ GÓP.",8.0,100.0,12.0,1.1,3.0,2.0,550.0,117.0,0.0
33,"Góc 2MT đường 16 Phạm Văn Đồng, Khu VIP gần sông, Vay 70% Giảm ngay 500tr mua trong tháng",8.0,53.0,5.0,5.6,4.0,3.0,18.0,50.0,21.0
34,Giảm giá kịch sàn -  Chỉ 100tr/m2 sở hữu Nhà mới 4 tầng Khu VIP Bình Lợi - 84m2 sổ riêng,8.0,84.0,7.0,8.4,4.0,4.0,36.0,6.0,17.0
35,CẮT LỖ 300TR TRONG THÁNG BÁN NHÀ MỚI  3 LẦU  NGAY BẾN XE MIỀN ĐÔNG - GIÁ CỰC TỐT VAY  70%,8.0,135.0,4.0,5.7,4.0,4.0,548.0,17.0,17.0
36,GIẢM MẠNH 800TR BÁN NHANH TRONG THÁNG NHÀ 4 TẦNG NGAY VINCOM NGUYỄN XÍ - SHR - VAY 70%,8.0,80.0,8.0,10.7,5.0,4.0,307.0,17.0,17.0
37,Chính chủ bán căn nhà Tâm Huyết mới xây 4x17m P. Trường Thọ - Khu đồng bộ an ninh cực tốt,8.0,68.0,6.0,6.4,4.0,4.0,371.0,87.0,21.0
38,"DUY NHẤT CĂN CUỐI 3.5 X 10M, MẶT TIỀN ĐƯỜNG LIÊN KHU 4 - 5, 2 LẦU, SHR CHỈ 2 TỶ 150 TRIỆU.",8.0,120.0,7.0,2.15,4.0,2.0,165.0,35.0,18.0
39,"BÁN NHÀ THỦ ĐỨC GẤP CĂN GÓC 2MT QUỐC LỘ 13, NGAY CÂN NHƠN HÒA VẠN PHÚC CITY SỔ HỒNG VAY 70",8.0,240.0,7.0,6.52,4.0,4.0,12.0,51.0,21.0
40,"Nhà bán quận Gò Vấp Giá cực rẻ 2.95 tỷ, hẻm xe hơi 6m thông, đúc 1 tấm.",8.0,48.0,6.0,2.95,2.0,1.0,388.0,26.0,19.0
41,"Bán nhà 2 mặt tiền quận Gò Vấp, DT 5 x 24m gần chợ tiện buôn bán!",8.0,400.0,10.0,10.5,5.0,5.0,206.0,6.0,19.0
42,"Tôi chính chủ bán dãy phòng trọ 208/62 Phan Huy Ích, P.12,Gò Vấp thu nhập 12 triệu/tháng.",8.0,120.0,10.0,6.35,6.0,5.0,45.0,5.0,19.0
43,CẦN VỐN TÔI BÁN GẤP LÔ ĐẤT CÓ SỔ RIÊNG ĐỐI DIỆN CHỢ+16PTRỌ ĐANG CÓ THU NHẬP 25TR/ 1THÁNG,8.0,300.0,10.0,1.2,16.0,5.0,565.0,138.0,3.0
44,"Chính Chủ Bán Nhà 2 Lầu DT 8X18m 142m2 Đường 8m, Sổ Riêng DS 10 Hiệp Bình Phước !",8.0,142.0,8.0,5.519,3.0,2.0,366.0,51.0,21.0
45,Thanh lý 2 lô đất chỉ có 850tr/56m2 Sổ Hồng Riêng và Nhà 1 Trệt+Lầu Nguyễn Thị Định-Quận 2,8.0,80.0,4.0,1.25,2.0,2.0,281.0,40.0,9.0
46,"Nhà đẹp chủ xây để ở, dt 5x14m phường Phú Thuận ,4 phòng ngủ, cách Phú Mỹ Hưng 500 m",8.0,70.0,5.0,5.8,4.0,3.0,130.0,69.0,14.0
47,"Bán nhà 777m2 đất An Phú Quận 2 mà chỉ có 12 tr/m2,có sẵn 33 nhà cấp 4,đầu tư sinh lời cao",8.0,777.0,5.0,12.0,33.0,3.0,222.0,30.0,9.0
48,"MÙA DỊCH KẸT TIỀN BÁN NHÀ ĐẸP CHÂU ÂU 150 M2 HXH 8M NGAY ĐƯỜNG HOÀNG QUỐC VIỆT, QUẬN 7",8.0,150.0,8.0,6.5,4.0,3.0,120.0,68.0,14.0
49,"Nhà đẹp 5x17m quận 7,có tới 7 Phòng Ngủ cho thuê 500 triệu/năm mua ở  đầu tư sinh lời cao",8.0,85.0,5.0,6.1,7.0,4.0,130.0,69.0,14.0
50,"NHÀ TRUNG TÂM QUẬN 7, PHƯỜNG PHÚ THUẬN LIỀN KỀ PHÚ MỸ HƯNG 5X14M = 5,1 TỶ",8.0,70.0,6.0,5.1,4.0,3.0,130.0,69.0,14.0
51,"Nhà Phố hướng Đông ,phường Phú Thuận, 5x18m đường 8M xe hơi, làm Spa Ở hoặc văn phòng",8.0,90.0,8.0,9.9,4.0,4.0,130.0,69.0,14.0
52,NHÀ ĐẸP QUẬN 7 HXH HƯỚNG ĐÔNG NAM  TẶNG KÈM CÁI SÂN 4X20 M VÀ CÓ SÂN ĐỂ XE HƠI 7 CHỖ,8.0,70.0,6.0,6.7,5.0,4.0,130.0,69.0,14.0
53,Bán: nhà 60m2 tại Tân Thới Nhất Q12 1 trệt 1 lầu.giá 1ty500 thương lẹ.,8.0,60.0,6.0,1.5,3.0,4.0,470.0,100.0,8.0
54,Nhà thủ đức gần vòng xoay chợ thủ đức cần bán,8.0,55.0,4.0,3.7,2.0,1.0,382.0,58.0,21.0
55,"Nhà Phố quận Tân Phú an ninh 24/7 kết cấu 2 lầu + ST, SHR giá tốt",8.0,52.0,7.0,5.9,5.0,3.0,303.0,99.0,23.0
56,"Tuyệt phẩm Phú Nhuận, 1T3L, 94m2, Đào Duy Anh, 15.9 tỷ",8.0,94.0,5.0,15.9,6.0,3.0,556.0,26.0,20.0
57,"Thanh toán 1,5 tỉ nhận ngay nhà 5 tầng , view sông ,có Tháng máy 5x15 ngay UBND Thạnh lộc",8.0,300.0,12.0,4.0,6.0,5.0,133.0,80.0,8.0
58,CẦN BÁN NHÀ 67m2 BÙI ĐÌNH TÚY THỔ CƯ SHR GIÁ 1 TỶ 250TR,8.0,67.0,6.0,1.25,2.0,1.0,51.0,15.0,17.0
59,Xoay vốn bán gấp 46m2 nhà ĐẶNG VĂN NGỮ giá 1 tỷ 360,8.0,46.0,6.0,1.36,2.0,1.0,571.0,3.0,20.0
60,BÁN NHÀ 1L1T 50M2 ĐỖ XUÂN HỢP Q9 GIÁ 1 TỶ 260,8.0,50.0,6.0,1.26,3.0,1.0,580.0,76.0,16.0
61,"Nhà mới mặt tiền Tỉnh lộ 10 Tân Tạo, Bình Tân SHR",8.0,142.0,60.0,10.5,5.0,2.0,445.0,101.0,18.0
62,Chính chủ cần bán gấp 2 căn nhà phố mới xây trong khu dân cư mới quận 12.,8.0,54.0,12.0,4.5,4.0,3.0,477.0,82.0,8.0
63,"Biệt thự mini Nguyễn Oanh - Hà Huy Giáp 4X35m giá 6,2 tỷ có tl.",8.0,140.0,8.0,6.2,5.0,3.0,133.0,80.0,8.0
64,Chính thức mở bán 30 căn shophouse khu dân cư Thống Nhất Residence.,8.0,250.0,12.0,4.5,4.0,3.0,407.0,8.0,19.0
65,"BÁN NHÀ MẶT TIỀN ĐƯỜNG TIỆN KINH DOANH , ĐẦU TƯ. SỔ RIÊNG. HỖ TRỢ TRẢ GÓP 0% LÃI SUẤT",8.0,90.0,10.0,1.2,3.0,2.0,550.0,117.0,0.0
66,"Chính chủ bán nhà ngay MT Liên Khu 4-5, q Bình Tân ,4 pn ,105m2 , giá 1.88 tỷ",8.0,105.0,8.0,1.88,4.0,3.0,165.0,35.0,18.0
67,"THANH LÝ NHANH CĂN NHÀ CỰC ĐẸP 1T2L, 4 PN , HẺM 8M THÔNG RA ĐƯỜNG BÌNH THÀNH,Q BÌNH TÂN",8.0,44.0,8.0,2.05,4.0,3.0,165.0,35.0,18.0
68,"""Bán nhà đường Lê Thị Kim, Xuân Thới Sơn, Hóc Môn. Giá 1ty350 thương lượng.DT: 6x14m.",8.0,84.0,6.0,1.35,3.0,1.0,190.0,135.0,3.0
69,Bán nhà 55m2 tại Võ Văn Tần Q3 chỉ 1 tỷ 36 có shr,8.0,55.0,5.0,1.36,2.0,1.0,499.0,22.0,10.0
70,BÁN GẤP NHÀ TẠI ĐƯỜNG NGUYỄN THỊ ĐỊNH Q2 DT 52M2 CHỈ 1 TỶ 410,8.0,52.0,5.0,1.41,3.0,1.0,281.0,32.0,9.0
71,BÁn Nhà Chỉ 650 triệu;Nhà cách bến xe Q8/9km . qua cầu ông thìn,8.0,40.0,4.0,0.68,3.0,2.0,357.0,127.0,0.0
72,"Nhà Mới Xây Đường 10 Hiệp Bình Phước, 237m2, Giá 5 Tỷ 500, Sổ Hồng Riêng, Sân Ô To Lớn",8.0,237.0,10.0,5.5,4.0,2.0,12.0,51.0,21.0
73,"Nhà Đường Đặng Văn Bi Phường Bình Thọ, Giá 5 Tỷ 600, Vị Trí Đẹp, Sổ Hồng Riêng, Đường Ô Tô",8.0,62.0,5.0,5.6,4.0,2.0,570.0,38.0,21.0
74,"Nhà mới xây 1 trệt 4 lầu Bình Lợi, sổ hồng riêng đừng vội lướt qua khi chưa đọc tin",8.0,85.0,10.0,8.5,5.0,4.0,36.0,6.0,17.0
75,"Nhà Mới 1 Trệt 3 Lầu Bùi Đình Túy, Bình Thạnh, Sổ Hồng Riêng, Cách 30m Mặt Tiền Lớn",8.0,68.0,5.0,7.6,4.0,3.0,51.0,15.0,17.0
76,Kẹt Tiền Bán Gấp Nhà Mới Giá 4 Tỷ 6 Sổ Hồng Riêng Hoàn Công Đầy Đủ Ngân Hàng Cho Vay 70%,8.0,52.0,4.0,4.6,4.0,2.0,12.0,51.0,21.0
77,"NHÀ PHỐ CAO CẤP, 1 TRỆT 1 LỮNG 3 LẦU, SỔ HỒNG RIÊNG, ĐƯỜNG Ô TÔ 12M, GIÁ : 4.55 TỶ",8.0,280.0,12.0,4.5,4.0,5.0,264.0,23.0,19.0
78,"Bán nhà cityland quận 12, 1 trệt 1 lững 3 lầu, đường ô tô 12m, giá 4.55 tỷ, sổ hồng riêng.",8.0,300.0,12.0,4.5,4.0,5.0,407.0,8.0,19.0
79,Nhà mặt phố 94m2 ngay chợ Hiệp Bình Hiệp Bình Chánh TĐ GIẢM GIÁ NGAY 300TR,8.0,94.0,9.0,10.5,4.0,3.0,381.0,50.0,21.0
80,"BÁN NHÀ SỔ RIÊNG 4X12, 2 LẦU 4PN HỖ TRỢ VAY NGÂN HÀNG",8.0,48.0,5.0,3.0,4.0,2.0,557.0,125.0,4.0
81,"Kẹt Tiền bán gấp nhà 1 trệt, 2 lầu, 4PN, Lê Văn Lương, Phước Kiển",8.0,141.0,8.0,2.67,4.0,2.0,197.0,123.0,4.0
82,"Chỉ với 450tr- đầu tư ngay căn hộ 2PN kề Phú Mỹ Hưng Q7- LỢI NHUẬN 30%/1 năm, CK 33%",8.0,50.0,30.0,0.45,2.0,20.0,197.0,120.0,4.0
83,"MẶT TIỀN 36 NGUYỄN BỈNH KHIÊM - DAKAO - QUẬN 1 CHỈ 440TR/M2, RẺ NHẤT KHU VỰC.",8.0,360.0,30.0,160.0,3.0,1.0,238.0,106.0,5.0
84,"Chính chủ bán nhà mt ql 50,trệt,1 lầu,dt:4*15,bình chánh (shr) giá 1.4 tỷ",8.0,120.0,6.0,1.4,3.0,2.0,357.0,127.0,0.0
85,"Chính chủ bán nhà mt ql 50,trệt,2 lầu,bình chánh (shr) giá 1.4 tỷ",8.0,100.0,5.0,1.4,3.0,3.0,357.0,127.0,0.0
86,"Bán gấp nhà chia tài sản DT:3,6mx12m 3PN hẻm xe hơi 5m",8.0,100.0,5.0,2.19,3.0,3.0,354.0,10.0,19.0
87,"Bán gấp nhà 1T 3L 64m2, SHR, ngay khu đồng bộ cách MT đường Quốc lộ 13 chỉ 100m giá 7.5 tỷ",8.0,64.0,12.0,7.5,4.0,3.0,366.0,50.0,21.0
88,"Nhà Phố 4 Tầng, 5 x 16m, đường Lê Văn Lương, gần Hoàng Anh Gold House, 5.5 tỷ",8.0,250.0,7.0,5.5,4.0,4.0,197.0,123.0,4.0
89,NHÀ MỚI 4 TẦNG 4 PHÒNG NGỦ 3 WC 2TY3 GẦN ỦY BAN PHƯỚC KIỂN,8.0,140.0,7.0,2.3,4.0,4.0,197.0,108.0,24.0
90,"Chị của mình cần bán gấp căn nhà 1 tret 1 lầu, đường Long Thuận Q9 đường trước nhà 13m",8.0,54.0,13.0,3.05,2.0,1.0,166.0,62.0,16.0
91,Gía Mềm Chủ Gấp Bán Lắm rồi Hẻm đẹp 7m 4 lầu nội thất lung linh 35m2 Tạ Uyên Phường 6 Q11,8.0,35.0,7.0,6.2,4.0,4.0,485.0,23.0,7.0
92,Giảm 500 triệu 4 lầu  Đẹp 35m2  khu vip phường 12 - Quận 11  Ba Tháng Hai,8.0,35.0,4.0,5.3,4.0,4.0,27.0,5.0,7.0
93,Bán gấp nhà HXH TÂN BÌNH 2 LẦU 3PN 50M2 GIÁ CHỈ 4 TỶ,8.0,50.0,4.0,4.0,3.0,2.0,391.0,3.0,22.0
94,"Chỉ 3,6 Tỷ Nhà Trần Văn Quang , Sổ Vuông Vức, Hẻm 5m Thông Tứ Tung",8.0,29.0,4.0,3.6,3.0,2.0,448.0,3.0,22.0
95,"NHÀ NHƯ HÌNH CHUP CHÍNH CHỦ SỔ HỒNG 2 TỶ 1, HẺM 6M",8.0,120.0,6.0,2.1,4.0,3.0,192.0,103.0,23.0
96,9 chủ gửi bán căn nhà 2266 huỳnh tấn phát - nhà bè,8.0,120.0,7.0,2.25,3.0,2.0,130.0,114.0,4.0
97,bán gấp căn nhà 3 tầng cao cấp.hẽm 6m.đường lê văn lương,8.0,120.0,6.0,2.28,4.0,3.0,197.0,91.0,14.0
98,Nhà 350tr có sổ hồng riêng mặt tền Nguyễn Văn Bứa.,8.0,40.0,8.0,0.35000000000000003,2.0,2.0,290.0,135.0,3.0
99,Bán nhà mới xây gần chợ Bình Chánh ngay đường Đinh Đức Thiện giá 480 triệu/căn,8.0,64.0,5.0,0.48,2.0,1.0,550.0,118.0,0.0
100,"BÁN DÃY NHÀ MỚI XÂY 1 TRỆT, 1 LẦU NGAY CHỢ HƯNG LONG GIÁ 450-700 TRIỆU/CĂN",8.0,60.0,6.0,0.45,2.0,2.0,140.0,117.0,0.0
101,"Nhà bán SHR mới 100% đúc 3 tấm, ngay Lê Trọng Tấn gần KCN Tân Bình giá chỉ 2,3 tỷ",8.0,116.0,4.0,2.3,4.0,3.0,192.0,103.0,23.0
102,"Chỉ 1,2 tỷ nhận nhà ở ngay. Hỗ trợ trả góp.Tặng xe SH 125",8.0,79.0,5.0,1.6,3.0,3.0,236.0,120.0,4.0
103,Nhà mới tôi xây chưa ở giờ bán gấp trả nợ ngân hàng bán nhà thật giá thật tránh mất thời,8.0,136.0,6.0,6.8,4.0,2.0,16.0,50.0,21.0
104,chính chủ kẹt tiền bán gấp nhà 40m2 nguyễn thị tú,8.0,40.0,6.0,1.73,4.0,3.0,280.0,33.0,18.0
105,"Cần Bán Nhà Mới 100% Đường Hà Huy Giáp, Quận 12, 1 trệt,2 lầu giá 1 tỷ 650 triệu",8.0,80.0,8.0,1.65,3.0,3.0,133.0,82.0,8.0
106,Nhà 5 Tầng Ngay Ngã Tư Ga-Hà Huy Giáp Diện Tích 4x19m Có Thang Máy Giá 4 tỷ 100 Triệu,8.0,360.0,12.0,4.1,6.0,5.0,133.0,80.0,8.0
107,"Nhà mới xây 2018 thuê 8 triệu/tháng ngay Cây Trâm, Gò Vấp, sổ hồng riêng.",8.0,60.0,6.0,0.8,2.0,1.0,385.0,26.0,19.0
108,"Cần bán nhà phố cao cấp Khu Omely đường Đào Tông Nguyên, DT sàn 290m2, hoa hồng 2%",8.0,290.0,8.0,7.311,4.0,3.0,560.0,122.0,4.0
109,"NHÀ PHỐ HIỆN ĐẠI CAO CẤP DT 5m x 16m, 3 LẦU, NỘI THẤT CAO CẤP, hoa hồng giới thiệu 2%",8.0,300.0,8.0,7.311,4.0,3.0,560.0,68.0,14.0
110,"CHÍNH CHỦ CẦN BÁN NHÀ MT AN DƯƠNG VƯƠNG( NHÀ MỚI HOÀN TOÀN) TRỆT, LỮNG, 2 LẦU, SÂN THƯỢNG",7.0,56.0,12.0,6.9,4.0,4.0,23.0,28.0,18.0
111,"Cần Bán Căn Nhà ở đường Lê Thị Hà - Hóc Môn. Đang Cho Thuê 8TR/TH, sổ hồng riêng.",7.0,104.0,5.0,1.2,3.0,1.0,188.0,133.0,3.0
112,"Bán nhà riêng tại đường Lê Thị Hà - Hóc Môn, Hồ Chí Minh, diện tích 4x15m, giá 1.6 tỷ TL",7.0,60.0,6.0,1.6,3.0,2.0,188.0,133.0,3.0
113,THÔNG TIN THẬT - Bán Gấp Nhà Trệt Lầu Sổ Hồng Riêng Hoàn Công ĐĐ HT Vay Bank - DT: 6m x 7m,7.0,38.0,4.0,2.25,2.0,2.0,130.0,114.0,4.0
114,THÔNG TIN THẬT - Bán Gấp Nhà 1 Trệt 2 Lầu ( Lô Nhì Đường NGUYỄN BÌNH ) Đối Diện UB Huyện,7.0,24.0,4.0,0.95,2.0,3.0,236.0,122.0,4.0
115,"Nhà Giáp Tân Phú, 1Tr 2L Sân Thượng. Giá 2 tỷ, ngay ngã Gò Mây",7.0,35.0,5.0,2.3,4.0,3.0,280.0,35.0,18.0
116,BIỆT THỰ 3 LẦU SANG CHẢNH BẬC NHẤT TÂY SÀI GÒN CUỐI ĐƯỜNG LÊ TRỌNG TẤN BÌNH TÂN,7.0,120.0,6.0,2.299,4.0,3.0,39.0,35.0,18.0
117,"Bán Nhà 1 Trệt 2 LẦu Đường Bình Thành,Bình Tân Liền Kề AeOn Tân Phú  SỔ Hồng Chính",7.0,60.0,8.0,1.49,2.0,2.0,163.0,35.0,18.0
